"TIPO_DATO_AVQ","Data type","MISURA_AVQ","Measure","NUMEROSITA","Number of household members","TIME","Select time","Value","Flag Codes","Flags"
"HOUSEHOLD","household - biennal average","HSC_F","per 100 households with the same characteristics","N3","3","2015","2015",20.1,,
"HOUSEHOLD","household - biennal average","HSC_F","per 100 households with the same characteristics","N3","3","2016","2016",19.8,,
"HOUSEHOLD","household - biennal average","HSC_F","per 100 households with the same characteristics","N3","3","2017","2017",19.6,,
"HOUSEHOLD","household - biennal average","HSC_F","per 100 households with the same characteristics","N3","3","2018","2018",19.5,,
"HOUSEHOLD","household - biennal average","HSC_F","per 100 households with the same characteristics","N3","3","2019","2019",19.3,,
"HOUSEHOLD","household - biennal average","THV","thousands value","N1","1","2015","2015",7862,,
"HOUSEHOLD","household - biennal average","THV","thousands value","N1","1","2016","2016",8016,,
"HOUSEHOLD","household - biennal average","THV","thousands value","N1","1","2017","2017",8139,,
"HOUSEHOLD","household - biennal average","THV","thousands value","N1","1","2018","2018",8487,,
"HOUSEHOLD","household - biennal average","THV","thousands value","N1","1","2019","2019",8562,,
"HOUSEHOLD","household - biennal average","THV","thousands value","N6_GE","6 and over","2015","2015",311,,
"HOUSEHOLD","household - biennal average","THV","thousands value","N6_GE","6 and over","2016","2016",306,,
"HOUSEHOLD","household - biennal average","THV","thousands value","N6_GE","6 and over","2017","2017",304,,
"HOUSEHOLD","household - biennal average","THV","thousands value","N6_GE","6 and over","2018","2018",318,,
"HOUSEHOLD","household - biennal average","THV","thousands value","N6_GE","6 and over","2019","2019",337,,
"HOUSEHOLD","household - biennal average","HSC_F","per 100 households with the same characteristics","N6_GE","6 and over","2015","2015",1.2,,
"HOUSEHOLD","household - biennal average","HSC_F","per 100 households with the same characteristics","N6_GE","6 and over","2016","2016",1.2,,
"HOUSEHOLD","household - biennal average","HSC_F","per 100 households with the same characteristics","N6_GE","6 and over","2017","2017",1.2,,
"HOUSEHOLD","household - biennal average","HSC_F","per 100 households with the same characteristics","N6_GE","6 and over","2018","2018",1.2,,
"HOUSEHOLD","household - biennal average","HSC_F","per 100 households with the same characteristics","N6_GE","6 and over","2019","2019",1.3,,
"HOUSEHOLD","household - biennal average","HSC_F","per 100 households with the same characteristics","N1","1","2015","2015",31.1,,
"HOUSEHOLD","household - biennal average","HSC_F","per 100 households with the same characteristics","N1","1","2016","2016",31.6,,
"HOUSEHOLD","household - biennal average","HSC_F","per 100 households with the same characteristics","N1","1","2017","2017",31.9,,
"HOUSEHOLD","household - biennal average","HSC_F","per 100 households with the same characteristics","N1","1","2018","2018",33,,
"HOUSEHOLD","household - biennal average","HSC_F","per 100 households with the same characteristics","N1","1","2019","2019",33.3,,
