"ITTER107","Territory","TIPO_DATO_AVQ","Data type","MISURA_AVQ","Measure","TIME","Select time","Value","Flag Codes","Flags"
"ITFG","Mezzogiorno","AVTYPE_H60OVER_M","male","THV","thousands value","2019","2019",368,,
"9","50,001 inhab. and over","AVTYPE_H60OVER_T","total","THV","thousands value","2018","2018",810,,
"9","50,001 inhab. and over","AVTYPE_H60OVER_T","total","THV","thousands value","2019","2019",853,,
"ITE3","Marche","AVTYPE_HONEP","one parent","HSC_N","per 100 nucleus with the same characteristics","2018","2018",17.5,,
"ITE3","Marche","AVTYPE_HONEP","one parent","HSC_N","per 100 nucleus with the same characteristics","2019","2019",18.8,,
"ITE3","Marche","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2018","2018",38.7,,
"ITE3","Marche","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2019","2019",41.6,,
"ITF6","Calabria","HOUSE_1PBIS","single persons","THV","thousands value","2018","2018",249,,
"ITF6","Calabria","HOUSE_1PBIS","single persons","THV","thousands value","2019","2019",246,,
"ITC1","Piemonte","AVTYPE_HYESCHI","couples with children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",44.6,,
"ITC1","Piemonte","AVTYPE_HYESCHI","couples with children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",45.2,,
"6","until 2,000 inhab.","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2018","2018",276,,
"6","until 2,000 inhab.","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2019","2019",293,,
"ITCD","Nord","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2018","2018",496,,
"ITCD","Nord","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2019","2019",501,,
"7","2,001 - 10,000 inhab.","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2018","2018",31.6,,
"7","2,001 - 10,000 inhab.","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2019","2019",30.7,,
"ITF3","Campania","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2018","2018",25.8,,
"ITF3","Campania","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2019","2019",25.8,,
"6","until 2,000 inhab.","AVTYPE_HYESCHI","couples with children","THV","thousands value","2018","2018",434,,
"6","until 2,000 inhab.","AVTYPE_HYESCHI","couples with children","THV","thousands value","2019","2019",429,,
"ITF","Sud","AVTYPE_HYESCHI","couples with children","THV","thousands value","2018","2018",2209,,
"ITF","Sud","AVTYPE_HYESCHI","couples with children","THV","thousands value","2019","2019",2178,,
"ITC3","Liguria","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2018","2018",72.5,,
"ITC3","Liguria","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2019","2019",70.4,,
"ITE","Centro (I)","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2018","2018",36.8,,
"ITE","Centro (I)","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2019","2019",38.3,,
"ITC1","Piemonte","AVTYPE_H60OVER_F","female","HSC_S","per 100 singles with the same characteristics","2018","2018",68.1,,
"ITC1","Piemonte","AVTYPE_H60OVER_F","female","HSC_S","per 100 singles with the same characteristics","2019","2019",69.6,,
"ITF1","Abruzzo","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2018","2018",29.6,,
"ITF1","Abruzzo","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2019","2019",30.5,,
"ITD5","Emilia-Romagna","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",35.6,,
"ITD5","Emilia-Romagna","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",35.3,,
"ITE1","Toscana","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2018","2018",40.8,,
"ITE1","Toscana","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2019","2019",36.2,,
"ITE4","Lazio","AVTYPE_H60OVER_M","male","THV","thousands value","2018","2018",143,,
"ITE4","Lazio","AVTYPE_H60OVER_M","male","THV","thousands value","2019","2019",166,,
"ITE2","Umbria","AVTYPE_H60OVER_M","male","THV","thousands value","2018","2018",21,,
"ITE2","Umbria","AVTYPE_H60OVER_M","male","THV","thousands value","2019","2019",23,,
"ITF6","Calabria","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2018","2018",3.6,,
"ITF6","Calabria","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2019","2019",4.4,,
"ITD5","Emilia-Romagna","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2018","2018",51.4,,
"ITD5","Emilia-Romagna","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2019","2019",50.8,,
"ITD5","Emilia-Romagna","AVTYPE_H5MORE","households with 5 members or more","HSC_F","per 100 households with the same characteristics","2018","2018",4.6,,
"ITD5","Emilia-Romagna","AVTYPE_H5MORE","households with 5 members or more","HSC_F","per 100 households with the same characteristics","2019","2019",4.3,,
"2","metropolitan area - centre","AVTYPE_HONEP","one parent","THV","thousands value","2018","2018",496,,
"2","metropolitan area - centre","AVTYPE_HONEP","one parent","THV","thousands value","2019","2019",507,,
"ITD3","Veneto","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",35.4,,
"ITD3","Veneto","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",34.4,,
"ITF4","Puglia","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2018","2018",4.6,,
"ITF4","Puglia","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2019","2019",4.8,,
"ITC4","Lombardia","AVTYPE_H60OVER_T","total","THV","thousands value","2018","2018",814,,
"ITC4","Lombardia","AVTYPE_H60OVER_T","total","THV","thousands value","2019","2019",814,,
"ITC3","Liguria","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2018","2018",3.4,,
"ITC3","Liguria","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2019","2019",4,,
"ITCD","Nord","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2018","2018",71.3,,
"ITCD","Nord","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2019","2019",72.4,,
"ITE","Centro (I)","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2018","2018",1157,,
"ITE","Centro (I)","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2019","2019",1143,,
"ITCD","Nord","HOUSE_1PBIS","single persons","THV","thousands value","2018","2018",4275,,
"ITCD","Nord","HOUSE_1PBIS","single persons","THV","thousands value","2019","2019",4286,,
"ITC","Nord-ovest","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2018","2018",279,,
"ITC","Nord-ovest","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2019","2019",270,,
"3","metropolitan area - suburbs","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2018","2018",53.4,,
"3","metropolitan area - suburbs","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2019","2019",54.7,,
"ITF2","Molise","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2018","2018",54.5,,
"ITF2","Molise","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2019","2019",56.5,,
"ITD4","Friuli-Venezia Giulia","AVTYPE_HYESCHI","couples with children","THV","thousands value","2018","2018",159,,
"ITD4","Friuli-Venezia Giulia","AVTYPE_HYESCHI","couples with children","THV","thousands value","2019","2019",163,,
"ITG1","Sicilia","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2018","2018",75.8,,
"ITG1","Sicilia","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2019","2019",77,,
"ITF4","Puglia","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2018","2018",35.4,,
"ITF4","Puglia","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2019","2019",34.5,,
"ITF2","Molise","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",30.3,,
"ITF2","Molise","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",32.1,,
"ITF1","Abruzzo","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2018","2018",131,,
"ITF1","Abruzzo","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2019","2019",133,,
"ITF2","Molise","AVTYPE_H60OVER_M","male","THV","thousands value","2018","2018",7,,
"ITF2","Molise","AVTYPE_H60OVER_M","male","THV","thousands value","2019","2019",6,,
"7","2,001 - 10,000 inhab.","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2018","2018",1365,,
"7","2,001 - 10,000 inhab.","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2019","2019",1349,,
"ITD5","Emilia-Romagna","AVTYPE_COMP","average number of members","AVE","average","2018","2018",2.2,,
"ITD5","Emilia-Romagna","AVTYPE_COMP","average number of members","AVE","average","2019","2019",2.2,,
"ITD3","Veneto","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2018","2018",50.9,,
"ITD3","Veneto","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2019","2019",53.6,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","AVTYPE_H60OVER_T","total","THV","thousands value","2018","2018",14,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","AVTYPE_H60OVER_T","total","THV","thousands value","2019","2019",12,,
"ITF3","Campania","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2018","2018",740,,
"ITF3","Campania","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2019","2019",732,,
"ITE2","Umbria","AVTYPE_H5MORE","households with 5 members or more","THV","thousands value","2018","2018",21,,
"ITE2","Umbria","AVTYPE_H5MORE","households with 5 members or more","THV","thousands value","2019","2019",21,,
"ITE4","Lazio","AVTYPE_H5MORE","households with 5 members or more","THV","thousands value","2018","2018",113,,
"ITE4","Lazio","AVTYPE_H5MORE","households with 5 members or more","THV","thousands value","2019","2019",110,,
"ITE1","Toscana","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2018","2018",5.6,,
"ITE1","Toscana","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2019","2019",6.2,,
"IT","Italy","AVTYPE_HONEP","one parent","HSC_N","per 100 nucleus with the same characteristics","2018","2018",16.3,,
"IT","Italy","AVTYPE_HONEP","one parent","HSC_N","per 100 nucleus with the same characteristics","2019","2019",16.8,,
"ITC3","Liguria","HOUSE_1PBIS","single persons","THV","thousands value","2018","2018",309,,
"ITC3","Liguria","HOUSE_1PBIS","single persons","THV","thousands value","2019","2019",321,,
"ITE3","Marche","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2018","2018",6.2,,
"ITE3","Marche","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2019","2019",7.2,,
"3","metropolitan area - suburbs","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",29.9,,
"3","metropolitan area - suburbs","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",29.4,,
"IT","Italy","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2018","2018",5977,,
"IT","Italy","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2019","2019",5965,,
"ITD4","Friuli-Venezia Giulia","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2018","2018",95,,
"ITD4","Friuli-Venezia Giulia","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2019","2019",102,,
"ITE","Centro (I)","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2018","2018",34.9,,
"ITE","Centro (I)","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2019","2019",35.2,,
"ITFG","Mezzogiorno","AVTYPE_H5MORE","households with 5 members or more","THV","thousands value","2018","2018",576,,
"ITFG","Mezzogiorno","AVTYPE_H5MORE","households with 5 members or more","THV","thousands value","2019","2019",546,,
"ITDA","Trentino Alto Adige / Südtirol","AVTYPE_H60OVER_F","female","HSC_S","per 100 singles with the same characteristics","2018","2018",61.4,,
"ITDA","Trentino Alto Adige / Südtirol","AVTYPE_H60OVER_F","female","HSC_S","per 100 singles with the same characteristics","2019","2019",67.4,,
"ITF6","Calabria","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2018","2018",34,,
"ITF6","Calabria","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2019","2019",39.5,,
"ITF","Sud","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2018","2018",1663,,
"ITF","Sud","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2019","2019",1677,,
"ITF4","Puglia","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2018","2018",26.4,,
"ITF4","Puglia","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2019","2019",27.5,,
"3","metropolitan area - suburbs","AVTYPE_COMP","average number of members","AVE","average","2018","2018",2.5,,
"3","metropolitan area - suburbs","AVTYPE_COMP","average number of members","AVE","average","2019","2019",2.5,,
"ITD","Nord-est","AVTYPE_H60OVER_F","female","HSC_S","per 100 singles with the same characteristics","2018","2018",64,,
"ITD","Nord-est","AVTYPE_H60OVER_F","female","HSC_S","per 100 singles with the same characteristics","2019","2019",64.9,,
"ITE1","Toscana","AVTYPE_HONEP","one parent","HSC_N","per 100 nucleus with the same characteristics","2018","2018",16.6,,
"ITE1","Toscana","AVTYPE_HONEP","one parent","HSC_N","per 100 nucleus with the same characteristics","2019","2019",17.6,,
"ITD4","Friuli-Venezia Giulia","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2018","2018",38.9,,
"ITD4","Friuli-Venezia Giulia","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2019","2019",36.8,,
"ITG2","Sardegna","AVTYPE_HNOCHI","couples without children","THV","thousands value","2018","2018",143,,
"ITG2","Sardegna","AVTYPE_HNOCHI","couples without children","THV","thousands value","2019","2019",138,,
"ITC3","Liguria","AVTYPE_HONEP","one parent","HSC_N","per 100 nucleus with the same characteristics","2018","2018",18,,
"ITC3","Liguria","AVTYPE_HONEP","one parent","HSC_N","per 100 nucleus with the same characteristics","2019","2019",18.5,,
"3","metropolitan area - suburbs","AVTYPE_H5MORE","households with 5 members or more","HSC_F","per 100 households with the same characteristics","2018","2018",6.2,,
"3","metropolitan area - suburbs","AVTYPE_H5MORE","households with 5 members or more","HSC_F","per 100 households with the same characteristics","2019","2019",6.2,,
"7","2,001 - 10,000 inhab.","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2018","2018",38.4,,
"7","2,001 - 10,000 inhab.","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2019","2019",37.8,,
"ITF1","Abruzzo","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2018","2018",33.1,,
"ITF1","Abruzzo","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2019","2019",32.3,,
"ITC","Nord-ovest","AVTYPE_HNOCHI","couples without children","THV","thousands value","2018","2018",1639,,
"ITC","Nord-ovest","AVTYPE_HNOCHI","couples without children","THV","thousands value","2019","2019",1614,,
"6","until 2,000 inhab.","AVTYPE_H5MORE","households with 5 members or more","THV","thousands value","2018","2018",60,,
"6","until 2,000 inhab.","AVTYPE_H5MORE","households with 5 members or more","THV","thousands value","2019","2019",71,,
"ITG1","Sicilia","HOUSE_1PBIS","single persons","THV","thousands value","2018","2018",609,,
"ITG1","Sicilia","HOUSE_1PBIS","single persons","THV","thousands value","2019","2019",633,,
"ITF","Sud","AVTYPE_H5MORE","households with 5 members or more","THV","thousands value","2018","2018",408,,
"ITF","Sud","AVTYPE_H5MORE","households with 5 members or more","THV","thousands value","2019","2019",401,,
"ITD1","Provincia Autonoma Bolzano / Bozen","AVTYPE_H60OVER_T","total","THV","thousands value","2018","2018",32,,
"ITD1","Provincia Autonoma Bolzano / Bozen","AVTYPE_H60OVER_T","total","THV","thousands value","2019","2019",39,,
"ITF3","Campania","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2018","2018",34.7,,
"ITF3","Campania","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2019","2019",33.5,,
"ITC1","Piemonte","AVTYPE_HNOCHI","couples without children","THV","thousands value","2018","2018",484,,
"ITC1","Piemonte","AVTYPE_HNOCHI","couples without children","THV","thousands value","2019","2019",482,,
"ITF4","Puglia","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2018","2018",466,,
"ITF4","Puglia","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2019","2019",489,,
"ITC","Nord-ovest","AVTYPE_H60OVER_F","female","HSC_S","per 100 singles with the same characteristics","2018","2018",67.9,,
"ITC","Nord-ovest","AVTYPE_H60OVER_F","female","HSC_S","per 100 singles with the same characteristics","2019","2019",67.3,,
"ITE4","Lazio","AVTYPE_COMP","average number of members","AVE","average","2018","2018",2.3,,
"ITE4","Lazio","AVTYPE_COMP","average number of members","AVE","average","2019","2019",2.3,,
"9","50,001 inhab. and over","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2018","2018",52.9,,
"9","50,001 inhab. and over","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2019","2019",53.6,,
"ITF6","Calabria","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2018","2018",77.7,,
"ITF6","Calabria","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2019","2019",76.8,,
"ITE3","Marche","HOUSE_1PBIS","single persons","THV","thousands value","2018","2018",193,,
"ITE3","Marche","HOUSE_1PBIS","single persons","THV","thousands value","2019","2019",196,,
"ITF2","Molise","AVTYPE_H5MORE","households with 5 members or more","THV","thousands value","2018","2018",6,,
"ITF2","Molise","AVTYPE_H5MORE","households with 5 members or more","THV","thousands value","2019","2019",6,,
"ITD5","Emilia-Romagna","AVTYPE_H60OVER_M","male","THV","thousands value","2018","2018",119,,
"ITD5","Emilia-Romagna","AVTYPE_H60OVER_M","male","THV","thousands value","2019","2019",120,,
"ITE3","Marche","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2018","2018",30.2,,
"ITE3","Marche","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2019","2019",30.9,,
"ITF2","Molise","AVTYPE_H5MORE","households with 5 members or more","HSC_F","per 100 households with the same characteristics","2018","2018",4.7,,
"ITF2","Molise","AVTYPE_H5MORE","households with 5 members or more","HSC_F","per 100 households with the same characteristics","2019","2019",4.4,,
"ITF","Sud","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2018","2018",34.3,,
"ITF","Sud","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2019","2019",34.8,,
"ITFG","Mezzogiorno","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2018","2018",2413,,
"ITFG","Mezzogiorno","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2019","2019",2405,,
"ITC3","Liguria","AVTYPE_HNOCHI","couples without children","THV","thousands value","2018","2018",174,,
"ITC3","Liguria","AVTYPE_HNOCHI","couples without children","THV","thousands value","2019","2019",166,,
"ITE2","Umbria","AVTYPE_COMP","average number of members","AVE","average","2018","2018",2.3,,
"ITE2","Umbria","AVTYPE_COMP","average number of members","AVE","average","2019","2019",2.3,,
"ITF4","Puglia","AVTYPE_H60OVER_F","female","THV","thousands value","2018","2018",188,,
"ITF4","Puglia","AVTYPE_H60OVER_F","female","THV","thousands value","2019","2019",196,,
"9","50,001 inhab. and over","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",32.3,,
"9","50,001 inhab. and over","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",32.4,,
"ITG2","Sardegna","AVTYPE_HYESCHI","couples with children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",51.9,,
"ITG2","Sardegna","AVTYPE_HYESCHI","couples with children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",49.5,,
"ITF4","Puglia","AVTYPE_HONEP","one parent","HSC_N","per 100 nucleus with the same characteristics","2018","2018",13.8,,
"ITF4","Puglia","AVTYPE_HONEP","one parent","HSC_N","per 100 nucleus with the same characteristics","2019","2019",14.9,,
"ITC","Nord-ovest","AVTYPE_HYESCHI","couples with children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",48.1,,
"ITC","Nord-ovest","AVTYPE_HYESCHI","couples with children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",49.1,,
"2","metropolitan area - centre","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",32.6,,
"2","metropolitan area - centre","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",32.2,,
"ITD3","Veneto","AVTYPE_H5MORE","households with 5 members or more","THV","thousands value","2018","2018",122,,
"ITD3","Veneto","AVTYPE_H5MORE","households with 5 members or more","THV","thousands value","2019","2019",117,,
"ITE3","Marche","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2018","2018",79.8,,
"ITE3","Marche","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2019","2019",80.8,,
"ITE4","Lazio","AVTYPE_HYESCHI","couples with children","THV","thousands value","2018","2018",809,,
"ITE4","Lazio","AVTYPE_HYESCHI","couples with children","THV","thousands value","2019","2019",819,,
"ITE2","Umbria","AVTYPE_HYESCHI","couples with children","THV","thousands value","2018","2018",123,,
"ITE2","Umbria","AVTYPE_HYESCHI","couples with children","THV","thousands value","2019","2019",124,,
"ITF4","Puglia","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2018","2018",77.2,,
"ITF4","Puglia","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2019","2019",82.4,,
"ITF6","Calabria","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2018","2018",31.3,,
"ITF6","Calabria","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2019","2019",31,,
