"Laboratory","Facility","Country","City","Sample Population","Sample Sub-Population","Reference Sample Type","Sample Set","Reference Method","Repeats","Blinding","Test Type","Test Format","Use Case","Test Name","Manufacturer","Catalog Number","Lot Number","Index Sample Type","Target","Antigen Used for Detection","RNA Extraction Kit","Estimated LoD","LoD Unit","Higher Cut-off","Lower Cut-off","Ct Value","Days of Sickness","Sample Size","Total Positive","Total Negative","True Positive","True Negative","Sensitivity","Specificity","Link to Publication","DOI","Comments"
"National Institute for Infectious Diseases (INMI) ""L. Spallanzani” IRCCS","Hospital","Italy","Rome","Symptomatic patients","Not available","Serum","Retrospective set","Immunoassay","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection; Detection of past infection","ENZY-WELL SARS-CoV-2 IgA","Diesse Diagnostica Senese SpA","91402","Not available","Serum","IgA","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","Not available","Not available","Not available","Not available","Not available","100","Not available","https://www.medrxiv.org/content/10.1101/2020.05.24.20111682v1.full.pdf","10.1101/2020.05.24.20111682","Cases: Samples from suspected and confirmed cases  Controls: Samples from suspected and pre-pandemic patients"
"National Institute for Infectious Diseases (INMI) ""L. Spallanzani” IRCCS","Hospital","Italy","Rome","Symptomatic patients","Not available","Serum","Retrospective set","Immunoassay","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection; Detection of past infection","ENZY-WELL SARS-CoV-2 IgA","Diesse Diagnostica Senese SpA","91402","Not available","Serum","IgA","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","533","65","468","Not available","Not available","93.6","97.9","https://www.medrxiv.org/content/10.1101/2020.05.24.20111682v1.full.pdf","10.1101/2020.05.24.20111682","Cases: Samples from suspected and confirmed cases  Controls: Samples from suspected and pre-pandemic patients"
"Molecular Virology Unit, Fondazione Istituto di Ricovero e Cura a Carattere Scientifico (IRCCS) Policlinico San Matteo (Pavia); Department of Laboratory Medicine, ASST Niguarda Hospital, University of Milan","Hospital","Italy","Pavia, Milan","Confirmed COVID-19 patients","Mild; Moderate; Severe","Not available","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Chemiluminescence immunoassay (CLIA)","Detection of current infection; Detection of past infection","LIAISON® SARS-CoV-2 S1/S2 IgG","DiaSorin SpA","Not available","Not available","Serum","IgG","Not available","Not available","Not available","Not available","> 9 AU/mL","Not available","Not available","Early (~1-7)","Not available","84","Not available","28","Not available","33.3","Not available","https://www.biorxiv.org/content/10.1101/2020.05.19.105445v1.full.pdf","10.1101/2020.05.19.105445","Note, manufacturer is among authors.  Controls: Pre-pandemic controls"
"Molecular Virology Unit, Fondazione Istituto di Ricovero e Cura a Carattere Scientifico (IRCCS) Policlinico San Matteo (Pavia); Department of Laboratory Medicine, ASST Niguarda Hospital, University of Milan","Hospital","Italy","Pavia, Milan","Confirmed COVID-19 patients","Mild; Moderate; Severe","Not available","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Chemiluminescence immunoassay (CLIA)","Detection of current infection; Detection of past infection","LIAISON® SARS-CoV-2 S1/S2 IgG","DiaSorin SpA","Not available","Not available","Serum","IgG","Not available","Not available","Not available","Not available","> 9 AU/mL","Not available","Not available","Intermediate (~8-14)","Not available","79","Not available","70","Not available","88.6","Not available","https://www.biorxiv.org/content/10.1101/2020.05.19.105445v1.full.pdf","10.1101/2020.05.19.105445","Note, manufacturer is among authors.  Controls: Pre-pandemic controls"
"Molecular Virology Unit, Fondazione Istituto di Ricovero e Cura a Carattere Scientifico (IRCCS) Policlinico San Matteo (Pavia); Department of Laboratory Medicine, ASST Niguarda Hospital, University of Milan","Hospital","Italy","Pavia, Milan","Confirmed COVID-19 patients","Mild; Moderate; Severe","Not available","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Chemiluminescence immunoassay (CLIA)","Detection of current infection; Detection of past infection","LIAISON® SARS-CoV-2 S1/S2 IgG","DiaSorin SpA","Not available","Not available","Serum","IgG","Not available","Not available","Not available","Not available","> 9 AU/mL","Not available","Not available","Late (>14)","Not available","47","Not available","45","Not available","95.7","Not available","https://www.biorxiv.org/content/10.1101/2020.05.19.105445v1.full.pdf","10.1101/2020.05.19.105445","Note, manufacturer is among authors.  Controls: Pre-pandemic controls"
"Department of Laboratory Medicine, University Hospital of Padova","Hospital","Italy","Padova","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Chemiluminescence immunoassay (CLIA)","Detection of past infection","MAGLUMI 2019-nCoV IgM (CLIA)","Snibe Co., Ltd (Shenzhen New Industries Biomedical Engineering Co., Ltd)","Not available","Not available","Serum","IgG","Not available","Not available","Not available","Not available","1.1 AU/mL","Not available","Not available","Late (>14)","Not available","25","Not available","25","Not available","100","Not available","https://www.degruyter.com/view/journals/cclm/ahead-of-print/article-10.1515-cclm-2020-0443/article-10.1515-cclm-2020-0443.xml","10.1515/cclm-2020-0443","Not available"
"Department of Laboratory Medicine, University Hospital of Padova","Hospital","Italy","Padova","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","Triplicates","Not available","Antibody","Chemiluminescence immunoassay (CLIA)","Detection of past infection","MAGLUMI 2019-nCoV IgM (CLIA)","Snibe Co., Ltd (Shenzhen New Industries Biomedical Engineering Co., Ltd)","Not available","Not available","Serum","IgM","Not available","Not available","Not available","Not available","1.0 AU/mL","Not available","Not available","Late (>14)","Not available","25","Not available","22","Not available","88","Not available","https://www.degruyter.com/view/journals/cclm/ahead-of-print/article-10.1515-cclm-2020-0443/article-10.1515-cclm-2020-0443.xml","10.1515/cclm-2020-0443","Not available"
"National Institute for Infectious Diseases (INMI) ""L. Spallanzani” IRCCS","Hospital","Italy","Rome","Symptomatic patients","Not available","Serum","Retrospective set","Immunoassay","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection; Detection of past infection","ENZY-WELL SARS-CoV-2 IgM","Diesse Diagnostica Senese SpA","91401","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Early (~1-7)","Not available","Not available","Not available","Not available","Not available","58.3","Not available","https://www.medrxiv.org/content/10.1101/2020.05.24.20111682v1.full.pdf","10.1101/2020.05.24.20111682","Cases: Samples from suspected and confirmed cases  Controls: Samples from suspected and pre-pandemic patients"
"National Institute for Infectious Diseases (INMI) ""L. Spallanzani” IRCCS","Hospital","Italy","Rome","Symptomatic patients","Not available","Serum","Retrospective set","Immunoassay","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection; Detection of past infection","ENZY-WELL SARS-CoV-2 IgM","Diesse Diagnostica Senese SpA","91401","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","Not available","Not available","Not available","Not available","Not available","87.5","Not available","https://www.medrxiv.org/content/10.1101/2020.05.24.20111682v1.full.pdf","10.1101/2020.05.24.20111682","Cases: Samples from suspected and confirmed cases  Controls: Samples from suspected and pre-pandemic patients"
"National Institute for Infectious Diseases (INMI) ""L. Spallanzani” IRCCS","Hospital","Italy","Rome","Symptomatic patients","Not available","Serum","Retrospective set","Immunoassay","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection; Detection of past infection","ENZY-WELL SARS-CoV-2 IgM","Diesse Diagnostica Senese SpA","91401","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","533","65","468","Not available","Not available","87.7","88","https://www.medrxiv.org/content/10.1101/2020.05.24.20111682v1.full.pdf","10.1101/2020.05.24.20111682","Cases: Samples from suspected and confirmed cases  Controls: Samples from suspected and pre-pandemic patients"
"National Institute for Infectious Diseases (INMI) ""L. Spallanzani” IRCCS","Hospital","Italy","Rome","Symptomatic patients","Not available","Serum","Retrospective set","Immunoassay","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection; Detection of past infection","ENZY-WELL SARS-CoV-2 IgG","Diesse Diagnostica Senese SpA","91400","Not available","Serum","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Early (~1-7)","Not available","Not available","Not available","Not available","Not available","66.7","Not available","https://www.medrxiv.org/content/10.1101/2020.05.24.20111682v1.full.pdf","10.1101/2020.05.24.20111682","Cases: Samples from suspected and confirmed cases  Controls: Samples from suspected and pre-pandemic patients"
"National Institute for Infectious Diseases (INMI) ""L. Spallanzani” IRCCS","Hospital","Italy","Rome","Symptomatic patients","Not available","Serum","Retrospective set","Immunoassay","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection; Detection of past infection","ENZY-WELL SARS-CoV-2 IgG","Diesse Diagnostica Senese SpA","91400","Not available","Serum","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","Not available","Not available","Not available","Not available","Not available","Not available","Not available","https://www.medrxiv.org/content/10.1101/2020.05.24.20111682v1.full.pdf","10.1101/2020.05.24.20111682","Cases: Samples from suspected and confirmed cases  Controls: Samples from suspected and pre-pandemic patients"
"National Institute for Infectious Diseases (INMI) ""L. Spallanzani” IRCCS","Hospital","Italy","Rome","Symptomatic patients","Not available","Serum","Retrospective set","Immunoassay","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection; Detection of past infection","ENZY-WELL SARS-CoV-2 IgG","Diesse Diagnostica Senese SpA","91400","Not available","Serum","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","533","65","468","Not available","Not available","92.5","91.7","https://www.medrxiv.org/content/10.1101/2020.05.24.20111682v1.full.pdf","10.1101/2020.05.24.20111682","Cases: Samples from suspected and confirmed cases  Controls: Samples from suspected and pre-pandemic patients"
"Dipartimento di Medicina Molecolare e Traslazionale Università degli Studi di Brescia SMeL Microbiologia e Virologia ASST Spedali Civili","Hospital","Italy","Brescia","Confirmed COVID-19 patients","Not available","Plasma; Serum","Retrospective set","Immunoassay","No replicates","Blinded to reference results","Antibody","Rapid diagnostic test (RDT)","Not available","2019-nCoV IgM Antibody Diagnostic Kit (Colloidal gold)","TECHNOGENETICS S.r.l","CVRT2500","00484","Plasma; Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","415","120","295","119","290","99.2","98.3","Not available","Not available","Controls: Pre-pandemic controls"
